strategy,tau_min,k,bin_type,bin,n,mean_ic_dAUC,t_p,wilcoxon_p
community,30,1,size,medium,1931,4.3397643707923335,0.3563142677999288,0.8652129219051976
community,30,1,size,large,1603,-14.398368683718042,0.15208698858245953,0.13886714898886895
community,30,3,size,small,1829,-1.0383980317113182,0.5447650744900001,0.7175892370400627
community,30,3,size,medium,1931,-3.230163127913002,0.4281072673073516,0.5289630393786686
community,30,3,size,large,1603,-30.787308172177177,0.03490126343243615,0.00011328707376274239
community,30,5,size,small,1829,0.040634226353198556,0.9807700687909994,0.5400799101020353
community,30,5,size,medium,1931,-10.915233039875714,0.006616556609212395,0.12460017766306827
community,30,5,size,large,1603,-29.772835308796022,0.01608770520359715,8.693732744830535e-07
community,30,10,size,small,1829,-2.4453909240021865,0.18045312620812362,0.6943857783227247
community,30,10,size,medium,1931,-2.8958337648886614,0.43403086244532185,0.3829011956153987
community,30,10,size,large,1603,-43.89441983780412,0.00011122028690117306,1.2832709127408495e-09
community,60,1,size,small,1829,0.7148660470202295,0.6496775996242172,0.00849211104200163
community,60,1,size,medium,1931,0.11618591403417801,0.9755100727101167,0.4564258875575935
community,60,1,size,large,1603,0.6121116656269444,0.9565373911912839,0.13151219706398468
community,60,3,size,small,1829,-1.7509841443411693,0.3404120919859951,0.24898219344154804
community,60,3,size,medium,1931,0.06539875712065926,0.9882739628735322,0.10646854357885327
community,60,3,size,large,1603,-13.170265127885214,0.2196451980298727,0.0002985788953530275
community,60,5,size,small,1829,-0.6335483870967739,0.7295673396138225,0.3162455362231794
community,60,5,size,medium,1931,-0.39692128430865087,0.9281146700053582,0.23725737379386047
community,60,5,size,large,1603,-24.202791640673745,0.015214727753444745,0.009420652023441209
